file_name,error_message,error_line,error_column
Members_and_Committee_Bulletin_1.29.2024_v2.json,Invalid control character at: line 1 column 39161 (char 39160),1,39161
Members_and_Committee_Bulletin_04.04.2022_v2.json,Unterminated string starting at: line 1 column 11774 (char 11773),1,11774
Members_and_Committee_Bulletin_05.20.2019.json,Unterminated string starting at: line 1 column 22372 (char 22371),1,22372
Members_and_Committee_Bulletin_4.3.2023_v2.json,Invalid control character at: line 1 column 38120 (char 38119),1,38120
Members_and_Committee_Bulletin_05.16.2022_v2.json,Invalid control character at: line 1 column 36832 (char 36831),1,36832
Members_and_Committee_Bulletin_4.22.2019.json,Unterminated string starting at: line 1 column 8302 (char 8301),1,8302
Members_and_Committee_Bulletin_11.13.2023_v2.json,Invalid control character at: line 1 column 40327 (char 40326),1,40327
Members_and_Committee_Bulletin_1.9.2023_v2.json,Invalid control character at: line 1 column 39217 (char 39216),1,39217
Members_and_Committee_Bulletin_07.25.2022_v2.json,"Expecting ',' delimiter: line 1 column 17260 (char 17259)",1,17260
Members_and_Committee_Bulletin_06.10.2019.json,Unterminated string starting at: line 1 column 9519 (char 9518),1,9519
Members_and_Committee_Bulletin_4.29.2019.json,Unterminated string starting at: line 1 column 9211 (char 9210),1,9211
Members_and_Committee_Bulletin_08.01.2022_v2.json,"Expecting ',' delimiter: line 1 column 21284 (char 21283)",1,21284
Members_and_Committee_Bulletin_10.12.2021_v2.json,Unterminated string starting at: line 1 column 13263 (char 13262),1,13263
Members_and_Committee_Bulletin_12.31.2018.json,Invalid control character at: line 1 column 35426 (char 35425),1,35426
Members_and_Committee_Bulletin_12.10.2018.json,Expecting value: line 2 column 1 (char 36905),2,1
